id,Age,Annual_Income_USD,Daily_Commute_km,Number_of_Cars_Owned,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Environmental_Concern_Level,Gender,City_Type,Current_Car_Type,Home_Charging_Possible,Subsidy_Available,Range_Anxiety_Level,Will_Buy_EV
325,47,98871,61.21,3,3,3,1,Female,Urban,Hatchback,No,Yes,Medium,1
326,47,164887,68.51,3,7,10,10,Male,Rural,SUV,No,Yes,Low,1
327,69,64703,11.49,2,6,1,3,Female,Urban,SUV,No,No,High,1
328,56,60015,41.83,0,0,7,5,Male,Rural,Hatchback,No,No,Medium,1
329,60,36262,32.21,0,10,11,3,Female,Urban,Sedan,Yes,Yes,Low,1
330,25,122879,63.41,1,6,7,10,Female,Rural,SUV,No,No,Low,1
331,39,27773,37.73,2,8,10,9,Female,Rural,Sedan,Yes,Yes,High,1
332,70,52590,58.73,3,11,4,2,Female,Urban,Hatchback,No,Yes,Medium,0
333,37,114895,45.72,0,2,10,5,Male,Urban,SUV,No,No,Medium,0
334,48,93298,78.28,0,11,7,1,Female,Rural,Hatchback,Yes,No,High,0
335,64,54622,34.15,3,11,5,8,Female,Suburban,Sedan,Yes,Yes,Medium,0
336,54,104463,79.03,2,7,7,9,Female,Urban,Sedan,No,Yes,Medium,1
337,65,176207,33.82,2,4,0,10,Male,Urban,Hatchback,Yes,No,Low,1
338,32,177399,15.43,1,7,1,7,Female,Urban,Truck,No,Yes,High,1
339,48,41658,62.78,3,9,8,4,Female,Suburban,SUV,No,No,High,0
340,54,141745,22.47,2,1,10,10,Female,Rural,Sedan,Yes,No,Low,1
341,40,95073,45.69,2,5,9,10,Male,Rural,Hatchback,Yes,No,Low,0
342,51,97194,52.04,3,1,5,10,Female,Urban,Truck,No,No,Medium,1
343,70,86172,16.77,0,9,11,7,Male,Rural,Hatchback,No,Yes,High,0
344,58,154714,3.72,2,6,3,6,Female,Rural,Sedan,Yes,Yes,High,1
345,39,61008,78.98,2,11,0,7,Male,Suburban,Sedan,Yes,Yes,Medium,1
346,27,115623,65.57,2,5,2,4,Male,Suburban,Hatchback,Yes,No,Medium,0
347,33,141057,10.77,3,10,9,5,Male,Urban,SUV,Yes,No,Low,0
348,37,89231,67.99,1,9,0,4,Female,Rural,Sedan,Yes,Yes,Low,1
349,65,124774,21.39,2,9,4,5,Female,Rural,Hatchback,Yes,No,High,0
350,37,43359,20.54,3,8,5,1,Female,Suburban,Sedan,No,No,Medium,0
351,62,137492,62.04,1,3,7,4,Female,Suburban,Truck,No,Yes,High,0
352,37,72085,60.83,0,2,7,1,Male,Urban,Sedan,Yes,Yes,Low,0
353,55,37835,67.83,2,10,10,3,Male,Rural,Truck,No,No,High,0
354,49,70785,11.8,0,10,8,5,Female,Rural,Truck,Yes,No,High,1
355,69,79675,60.06,3,1,3,5,Female,Urban,SUV,No,Yes,Low,1
356,51,124922,38.12,0,2,0,2,Female,Suburban,Sedan,No,No,Low,1
357,67,105574,26.74,2,3,11,5,Female,Urban,Hatchback,No,Yes,Low,0
358,69,154130,59.01,1,0,9,4,Male,Suburban,Truck,No,Yes,Low,1
359,59,91141,67.77,1,7,0,3,Female,Urban,Truck,Yes,Yes,Low,0
360,53,162438,26.47,2,11,0,8,Male,Urban,Sedan,Yes,Yes,Low,0
361,64,31295,13.23,3,8,1,1,Female,Suburban,Sedan,No,No,Low,1
362,70,75378,79.34,0,1,0,1,Male,Urban,Truck,Yes,Yes,High,0
363,36,55074,73.62,3,0,5,10,Male,Suburban,Truck,No,Yes,Low,1
364,50,84252,23.9,1,10,5,7,Female,Rural,SUV,Yes,Yes,Low,0
365,31,171478,65.34,3,3,8,6,Male,Suburban,SUV,No,Yes,Low,0
366,29,45959,8.09,3,9,2,6,Male,Suburban,Sedan,Yes,No,High,0
367,55,50198,73.09,0,4,11,4,Male,Suburban,Truck,Yes,No,Low,1
368,27,88261,62.2,0,9,0,4,Male,Suburban,SUV,Yes,No,Low,1
369,57,157068,16.55,1,10,10,9,Male,Suburban,Sedan,No,Yes,High,0
370,62,26258,24.36,0,10,5,4,Female,Urban,Sedan,Yes,Yes,Low,0
371,32,152431,48.05,3,0,11,5,Female,Suburban,Truck,No,Yes,Medium,0
372,56,145813,29.1,2,3,1,10,Female,Urban,Sedan,Yes,No,High,1
373,43,85650,59.16,1,10,5,9,Male,Urban,Truck,Yes,Yes,Medium,1
374,66,31646,47.8,2,7,6,3,Female,Urban,Hatchback,No,No,Low,1
375,66,97351,17.36,0,4,4,2,Male,Suburban,Hatchback,Yes,Yes,Medium,0
376,51,133699,49.2,0,10,0,10,Male,Urban,Truck,No,No,Low,1
377,50,152720,2.11,2,7,7,2,Male,Urban,Sedan,Yes,No,High,1
378,57,49563,9.83,3,0,9,6,Female,Rural,Truck,Yes,No,High,1
379,51,130506,13.74,3,11,8,3,Female,Rural,SUV,Yes,No,Medium,0
380,59,111010,28.94,2,9,7,8,Female,Urban,Sedan,No,Yes,Medium,0
381,33,154726,1.94,2,0,10,9,Male,Rural,Hatchback,Yes,Yes,High,0
382,60,135085,74.46,0,11,1,7,Male,Suburban,SUV,Yes,Yes,High,0
383,49,142427,19.92,1,6,7,8,Female,Urban,SUV,Yes,Yes,Medium,0
384,59,157514,22.38,0,11,8,6,Male,Rural,Sedan,Yes,Yes,Medium,1
385,49,132147,30.68,2,2,10,4,Male,Rural,Truck,No,Yes,Low,0
386,39,86128,75.32,2,1,11,1,Male,Suburban,Sedan,No,Yes,Low,1
387,29,166510,28.79,0,8,4,10,Female,Urban,Hatchback,No,Yes,Medium,0
388,49,111300,35.06,0,1,0,6,Male,Suburban,Sedan,Yes,No,High,1
389,70,152535,24.58,2,9,9,9,Male,Suburban,Sedan,Yes,No,Low,0
390,26,40937,78.12,2,3,10,4,Female,Urban,Sedan,No,No,Low,0
391,51,52754,29.82,3,2,11,4,Male,Urban,Truck,Yes,No,Low,0
392,45,109824,7.6,2,7,8,4,Male,Rural,Hatchback,Yes,No,Low,0
393,25,140974,52.98,0,10,0,6,Female,Rural,SUV,No,Yes,Medium,1
394,50,172400,57.61,0,9,11,4,Female,Suburban,Truck,No,No,Medium,0
395,60,38435,30.41,1,2,8,10,Male,Suburban,Sedan,Yes,Yes,High,0
396,59,158352,17.7,0,9,11,5,Female,Suburban,SUV,Yes,Yes,Medium,1
397,70,91007,33.33,0,5,10,8,Male,Urban,Hatchback,No,No,High,1
398,49,172287,35.69,1,7,8,3,Female,Urban,Sedan,No,No,Low,0
399,52,86496,79.63,1,1,10,2,Female,Urban,Truck,No,No,Low,0
